D	O	H	L	C
2012-01-24	1315.96	1315.96	1306.06	1314.65
2012-01-25	1314.4	1328.3	1307.65	1326.05
2012-01-26	1326.28	1333.47	1313.6	1318.43
2012-01-27	1318.25	1320.06	1311.72	1316.33
2012-01-30	1316.16	1316.16	1300.49	1313.01
2012-01-31	1313.53	1321.41	1306.69	1312.41
2012-02-01	1312.45	1330.52	1312.45	1324.09
2012-02-02	1324.24	1329.19	1321.57	1325.54
2012-02-03	1326.21	1345.34	1326.21	1344.9
2012-02-06	1344.32	1344.36	1337.52	1344.33
2012-02-07	1344.33	1349.24	1335.92	1347.05
2012-02-08	1347.04	1351	1341.95	1349.96
2012-02-09	1349.97	1354.32	1344.63	1351.95
2012-02-10	1351.21	1351.21	1337.35	1342.64
2012-02-13	1343.06	1353.35	1343.06	1351.77
2012-02-14	1351.3	1351.3	1340.83	1350.5
2012-02-15	1350.52	1355.87	1340.8	1343.23
2012-02-16	1342.61	1359.02	1341.22	1358.04
2012-02-17	1358.06	1363.4	1357.24	1361.23
2012-02-21	1361.22	1367.76	1358.11	1362.21
2012-02-22	1362.11	1362.7	1355.53	1357.66
2012-02-23	1357.53	1364.24	1352.28	1363.46
2012-02-24	1363.46	1368.92	1363.46	1365.74
2012-02-27	1365.2	1371.94	1354.92	1367.59
2012-02-28	1367.56	1373.09	1365.97	1372.18
2012-02-29	1372.2	1378.04	1363.81	1365.68
2012-03-01	1365.9	1376.17	1365.9	1374.09
2012-03-02	1374.09	1374.53	1366.42	1369.63
2012-03-05	1369.59	1369.59	1359.13	1364.33
2012-03-06	1363.63	1363.63	1340.03	1343.36
2012-03-07	1343.39	1354.85	1343.39	1352.63
2012-03-08	1352.65	1368.72	1352.65	1365.91
2012-03-09	1365.97	1374.76	1365.97	1370.87
2012-03-12	1370.78	1373.04	1366.69	1371.09
2012-03-13	1371.92	1396.13	1371.92	1395.95
2012-03-14	1395.95	1399.42	1389.97	1394.28
2012-03-15	1394.17	1402.63	1392.78	1402.6
2012-03-16	1402.55	1405.88	1401.47	1404.17
2012-03-19	1404.17	1414	1402.43	1409.75
2012-03-20	1409.59	1409.59	1397.68	1405.52
2012-03-21	1405.52	1407.75	1400.64	1402.89
2012-03-22	1402.89	1402.89	1388.73	1392.78
2012-03-23	1392.78	1399.18	1386.87	1397.11
2012-03-26	1397.11	1416.58	1397.11	1416.51
2012-03-27	1416.55	1419.15	1411.95	1412.52
2012-03-28	1412.52	1413.65	1397.2	1405.54
2012-03-29	1405.39	1405.39	1391.56	1403.28
2012-03-30	1403.31	1410.89	1401.42	1408.47
2012-04-02	1408.47	1422.38	1404.46	1419.04
2012-04-03	1418.98	1419	1404.62	1413.38
2012-04-04	1413.09	1413.09	1394.09	1398.96
2012-04-05	1398.79	1401.6	1392.92	1398.08
2012-04-09	1397.45	1397.45	1378.24	1382.2
2012-04-10	1382.18	1383.01	1357.38	1358.59
2012-04-11	1358.98	1374.71	1358.98	1368.71
2012-04-12	1368.77	1388.13	1368.77	1387.57
2012-04-13	1387.61	1387.61	1369.85	1370.26
2012-04-16	1370.27	1379.66	1365.38	1369.57
2012-04-17	1369.57	1392.76	1369.57	1390.78
2012-04-18	1390.78	1390.78	1383.29	1385.14
2012-04-19	1385.08	1390.46	1370.3	1376.92
2012-04-20	1376.96	1387.4	1376.96	1378.53
2012-04-23	1378.53	1378.53	1358.79	1366.94
2012-04-24	1366.97	1375.57	1366.82	1371.97
2012-04-25	1372.11	1391.37	1372.11	1390.69
2012-04-26	1390.64	1402.09	1387.28	1399.98
2012-04-27	1400.19	1406.64	1397.31	1403.36
2012-04-30	1403.26	1403.26	1394	1397.91
2012-05-01	1397.86	1415.32	1395.73	1405.82
2012-05-02	1405.5	1405.5	1393.92	1402.31
2012-05-03	1402.32	1403.07	1388.71	1391.57
2012-05-04	1391.51	1391.51	1367.96	1369.1
2012-05-07	1368.79	1373.91	1363.94	1369.58
2012-05-08	1369.16	1369.16	1347.75	1363.72
2012-05-09	1363.2	1363.73	1343.13	1354.58
2012-05-10	1354.58	1365.88	1354.58	1357.99
2012-05-11	1358.11	1365.66	1348.89	1353.39
2012-05-14	1351.93	1351.93	1336.61	1338.35
2012-05-15	1338.36	1344.94	1328.41	1330.66
2012-05-16	1330.78	1341.78	1324.79	1324.8
2012-05-17	1324.82	1326.36	1304.86	1304.86
2012-05-18	1305.05	1312.24	1291.98	1295.22
2012-05-21	1295.73	1316.39	1295.73	1315.99
2012-05-22	1316.09	1328.49	1310.04	1316.63
2012-05-23	1316.02	1320.71	1296.53	1318.86
2012-05-24	1318.72	1324.14	1310.5	1320.68
2012-05-25	1320.81	1324.2	1314.23	1317.82
2012-05-29	1318.9	1334.93	1318.9	1332.42
2012-05-30	1331.25	1331.25	1310.76	1313.32
2012-05-31	1313.09	1319.74	1298.9	1310.33
2012-06-01	1309.87	1309.87	1277.25	1278.04
2012-06-04	1278.29	1282.55	1266.74	1278.18
2012-06-05	1277.82	1287.62	1274.16	1285.5
2012-06-06	1285.61	1315.13	1285.61	1315.13
2012-06-07	1316.15	1329.05	1312.68	1314.99
2012-06-08	1314.99	1325.81	1307.77	1325.66
2012-06-11	1325.72	1335.52	1307.73	1308.93
2012-06-12	1309.4	1324.31	1306.62	1324.18
2012-06-13	1324.02	1327.28	1310.51	1314.88
2012-06-14	1314.88	1333.68	1314.14	1329.1
2012-06-15	1329.19	1343.32	1329.19	1342.84
2012-06-18	1342.42	1348.22	1334.46	1344.78
2012-06-19	1344.83	1363.46	1344.83	1357.98
2012-06-20	1358.04	1361.57	1346.45	1355.69
2012-06-21	1355.43	1358.27	1324.41	1325.51
2012-06-22	1325.92	1337.82	1325.92	1335.02
2012-06-25	1334.9	1334.9	1309.27	1313.72
2012-06-26	1314.09	1324.24	1310.3	1319.99
2012-06-27	1320.71	1334.4	1320.71	1331.85
2012-06-28	1331.52	1331.52	1313.29	1329.04
2012-06-29	1330.12	1362.17	1330.12	1362.16
2012-07-02	1362.33	1366.35	1355.7	1365.51
2012-07-03	1365.75	1374.81	1363.53	1374.02
2012-07-05	1373.72	1373.85	1363.02	1367.58
2012-07-06	1367.09	1367.09	1348.03	1354.68
2012-07-09	1354.66	1354.87	1346.65	1352.46
2012-07-10	1352.96	1361.54	1336.27	1341.47
2012-07-11	1341.4	1345	1333.25	1341.45
2012-07-12	1341.29	1341.29	1325.41	1334.76
2012-07-13	1334.81	1357.7	1334.81	1356.78
2012-07-16	1356.5	1357.26	1348.51	1353.64
2012-07-17	1353.68	1365.36	1345.07	1363.67
2012-07-18	1363.58	1375.26	1358.96	1372.78
2012-07-19	1373.01	1380.39	1371.21	1376.51
2012-07-20	1376.51	1376.51	1362.19	1362.66
2012-07-23	1362.34	1362.34	1337.56	1350.52
2012-07-24	1350.52	1351.53	1329.24	1338.31
2012-07-25	1338.35	1343.98	1331.5	1337.89
2012-07-26	1338.17	1363.13	1338.17	1360.02
2012-07-27	1360.05	1389.19	1360.05	1385.97
2012-07-30	1385.94	1391.74	1381.37	1385.3
2012-07-31	1385.27	1387.16	1379.17	1379.32
2012-08-01	1379.32	1385.03	1373.35	1375.14
2012-08-02	1375.13	1375.13	1354.65	1365
2012-08-03	1365.45	1394.16	1365.45	1390.99
2012-08-06	1391.04	1399.63	1391.04	1394.23
2012-08-07	1394.46	1407.14	1394.46	1401.35
2012-08-08	1401.23	1404.14	1396.13	1402.22
2012-08-09	1402.26	1405.95	1398.8	1402.8
2012-08-10	1402.58	1405.98	1395.62	1405.87
2012-08-13	1405.87	1405.87	1397.32	1404.11
2012-08-14	1404.36	1410.03	1400.6	1403.93
2012-08-15	1403.89	1407.73	1401.83	1405.53
2012-08-16	1405.57	1417.44	1404.15	1415.51
2012-08-17	1415.84	1418.71	1414.67	1418.16
2012-08-20	1417.85	1418.13	1412.12	1418.13
2012-08-21	1418.13	1426.68	1410.86	1413.17
2012-08-22	1413.09	1416.12	1406.78	1413.49
2012-08-23	1413.49	1413.49	1400.5	1402.08
2012-08-24	1401.99	1413.46	1398.04	1411.13
2012-08-27	1411.13	1416.17	1409.11	1410.44
2012-08-28	1410.44	1413.63	1405.59	1409.3
2012-08-29	1409.32	1413.95	1406.57	1410.49
2012-08-30	1410.08	1410.08	1397.01	1399.48
2012-08-31	1400.07	1413.09	1398.96	1406.58
2012-09-04	1406.54	1409.31	1396.56	1404.94
2012-09-05	1404.94	1408.81	1401.25	1403.44
2012-09-06	1403.74	1432.12	1403.74	1432.12
2012-09-07	1432.12	1437.92	1431.45	1437.92
2012-09-10	1437.92	1438.74	1428.98	1429.08
2012-09-11	1429.13	1437.76	1429.13	1433.56
2012-09-12	1433.56	1439.15	1432.99	1436.56
2012-09-13	1436.56	1463.76	1435.34	1459.99
2012-09-14	1460.07	1474.51	1460.07	1465.77
2012-09-17	1465.42	1465.63	1457.55	1461.19
2012-09-18	1461.19	1461.47	1456.13	1459.32
2012-09-19	1459.5	1465.15	1457.88	1461.05
2012-09-20	1461.05	1461.23	1449.98	1460.26
2012-09-21	1460.34	1467.07	1459.51	1460.15
2012-09-24	1459.76	1460.72	1452.06	1456.89
2012-09-25	1456.94	1463.24	1441.59	1441.59
2012-09-26	1441.6	1441.6	1430.53	1433.32
2012-09-27	1433.36	1450.2	1433.36	1447.15
2012-09-28	1447.13	1447.13	1435.6	1440.67
2012-10-01	1440.9	1457.14	1440.9	1444.49
2012-10-02	1444.99	1451.52	1439.01	1445.75
2012-10-03	1446.05	1454.3	1441.99	1450.99
2012-10-04	1451.08	1463.14	1451.08	1461.4
2012-10-05	1461.4	1470.96	1456.89	1460.93
2012-10-08	1460.93	1460.93	1453.1	1455.88
2012-10-09	1455.9	1455.9	1441.18	1441.48
2012-10-10	1441.48	1442.52	1430.64	1432.56
2012-10-11	1432.82	1443.9	1432.82	1432.84
2012-10-12	1432.84	1438.43	1425.53	1428.59
2012-10-15	1428.75	1441.31	1427.24	1440.13
2012-10-16	1440.31	1455.51	1440.31	1454.92
2012-10-17	1454.22	1462.2	1453.35	1460.91
2012-10-18	1460.94	1464.02	1452.63	1457.34
2012-10-19	1457.34	1457.34	1429.85	1433.19
2012-10-22	1433.21	1435.46	1422.06	1433.82
2012-10-23	1433.74	1433.74	1407.56	1410.75
